kappa,sigma_p,cost,best_policy,diff_vs_bh,diff_ci_low,diff_ci_high,any_ema_beats_bh
0.05,0.01,0.01,"EMA(alpha=0.1, delta=0.1)",0.015859626297244713,0.009085917700106437,0.02263333489438299,True
0.05,0.02,0.01,"EMA(alpha=0.1, delta=0.05)",0.037457107208388234,0.035668989056496986,0.03924522536027948,True
0.05,0.05,0.01,"EMA(alpha=0.1, delta=0.1)",0.08280556588602905,0.08135368296698547,0.08425744880507263,True
0.05,0.08,0.01,"EMA(alpha=0.3, delta=0.1)",0.08825992141991755,0.08588575322792173,0.09063408961191337,True
0.1,0.01,0.01,"EMA(alpha=0.1, delta=0.05)",0.009540997155655179,0.003507814167280233,0.015574180144030125,True
0.1,0.02,0.01,"EMA(alpha=0.1, delta=0.05)",0.03648236530712022,0.03447774605957607,0.03848698455466437,True
0.1,0.05,0.01,"EMA(alpha=0.1, delta=0.1)",0.09650186727807467,0.09528238537534575,0.09772134918080358,True
0.1,0.08,0.01,"EMA(alpha=0.3, delta=0.1)",0.10666123278901743,0.10468087156183147,0.1086415940162034,True
0.2,0.01,0.01,"EMA(alpha=0.1, delta=0.1)",0.011220887023545765,0.004435322940419594,0.018006451106671935,True
0.2,0.02,0.01,"EMA(alpha=0.1, delta=0.05)",0.033666891064544825,0.03125915708974849,0.03607462503934116,True
0.2,0.05,0.01,"EMA(alpha=0.1, delta=0.1)",0.10203931921548368,0.10071807609672184,0.10336056233424551,True
0.2,0.08,0.01,"EMA(alpha=0.3, delta=0.1)",0.12410997793206582,0.12248467677207897,0.12573527909205268,True
0.3,0.01,0.01,"EMA(alpha=0.1, delta=0.05)",0.01151888795133309,0.005634040816951117,0.017403735085715064,True
0.3,0.02,0.01,"EMA(alpha=0.1, delta=0.05)",0.030100174216770085,0.027333152972281782,0.03286719546125839,True
0.3,0.05,0.01,"EMA(alpha=0.1, delta=0.1)",0.10285154868552113,0.10131938087183998,0.10438371649920228,True
0.3,0.08,0.01,"EMA(alpha=0.3, delta=0.1)",0.12960502024876033,0.12813221064923716,0.1310778298482835,True
0.5,0.01,0.01,"EMA(alpha=0.3, delta=0.05)",0.01655049548511492,0.00977995791206139,0.023321033058168447,True
0.5,0.02,0.01,"EMA(alpha=0.1, delta=0.05)",0.029035311533610546,0.02606612582067481,0.03200449724654628,True
0.5,0.05,0.01,"EMA(alpha=0.1, delta=0.1)",0.0973929333654178,0.0952781648787849,0.09950770185205068,True
0.5,0.08,0.01,"EMA(alpha=0.3, delta=0.1)",0.13426893961252462,0.13290313564413309,0.13563474358091615,True
0.7,0.01,0.01,"EMA(alpha=0.3, delta=0.02)",0.008355222133142173,0.006573834825471166,0.01013660944081318,True
0.7,0.02,0.01,"EMA(alpha=0.1, delta=0.05)",0.03216825619768209,0.029142065808894065,0.03519444658647012,True
0.7,0.05,0.01,"EMA(alpha=0.1, delta=0.1)",0.09203121620753395,0.08948608961665326,0.09457634279841463,True
0.7,0.08,0.01,"EMA(alpha=0.3, delta=0.1)",0.13564859061191992,0.1343042119517674,0.13699296927207244,True
1.0,0.01,0.01,"EMA(alpha=0.3, delta=0.02)",0.012429196112578854,0.011261369450488525,0.013597022774669183,True
1.0,0.02,0.01,"EMA(alpha=0.6, delta=0.02)",0.03318633584820848,0.03144286608402157,0.03492980561239539,True
1.0,0.05,0.01,"EMA(alpha=0.1, delta=0.1)",0.09160620561105484,0.08903224810705712,0.09418016311505256,True
1.0,0.08,0.01,"EMA(alpha=0.3, delta=0.1)",0.14044853056279508,0.1391978677233814,0.14169919340220874,True
