jump_rate,jump_scale,cost,best_policy,best_mean_profit,best_p_loss,bh_mean_profit,diff_vs_bh,diff_ci_low,diff_ci_high,best_beats_bh,any_ema_beats_bh
0.02,0.1,0.01,"EMA(alpha=0.1, delta=0.1)",0.08586975240933144,0.5886,-0.013497016674739536,0.09936676908407097,0.09774805681013102,0.10098548135801091,True,True
0.02,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.07718174024935423,0.5923,-0.014812866459051915,0.09199460670840615,0.09023109130906655,0.09375812210774574,True,True
0.02,0.4,0.01,"EMA(alpha=0.1, delta=0.1)",0.06837221132552497,0.58575,-0.006627852065047213,0.07500006339057218,0.07278304043635803,0.07721708634478633,True,True
0.02,0.6,0.01,"EMA(alpha=0.1, delta=0.1)",0.07056086008843326,0.57145,0.010137467495095864,0.06042339259333739,0.05788322448114469,0.0629635607055301,True,True
0.05,0.1,0.01,"EMA(alpha=0.1, delta=0.1)",0.08749114106153894,0.5828,-0.006627486522106568,0.0941186275836455,0.09239439870477048,0.09584285646252053,True,True
0.05,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.06856995056731843,0.5894,-0.009420488356397763,0.07799043892371621,0.07597710668161081,0.08000377116582161,True,True
0.05,0.4,0.01,"EMA(alpha=0.1, delta=0.1)",0.0510021019797356,0.58135,0.004547091453006356,0.04645501052672924,0.043756786218316544,0.04915323483514194,True,True
0.05,0.6,0.01,"EMA(alpha=0.1, delta=0.05)",0.046693914829099216,0.57475,0.015881290307838053,0.030812624521261166,0.028981782409187935,0.032643466633334395,True,True
0.1,0.1,0.01,"EMA(alpha=0.1, delta=0.1)",0.0747974330596637,0.59275,-0.013884304668560278,0.08868173772822396,0.08689003413560167,0.09047344132084625,True,True
0.1,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.0559906899317217,0.5894,-0.006108051558952956,0.06209874149067466,0.05977568099835044,0.06442180198299888,True,True
0.1,0.4,0.01,"EMA(alpha=0.1, delta=0.05)",0.03278165422525449,0.58305,0.006737433456541253,0.02604422076871324,0.02413846383073213,0.027949977706694346,True,True
0.1,0.6,0.01,"EMA(alpha=0.1, delta=0.05)",0.04127082210413689,0.5601,0.029240675818840003,0.012030146285296894,0.00972835510794549,0.014331937462648298,True,True
0.2,0.1,0.01,"EMA(alpha=0.1, delta=0.1)",0.0704374172500845,0.58795,-0.0068302927950420695,0.07726771004512657,0.07524434260697926,0.07929107748327388,True,True
0.2,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.04148039979009596,0.5858,0.0019454439839914027,0.039534955806104555,0.03683323088930933,0.04223668072289978,True,True
0.2,0.4,0.01,"EMA(alpha=0.1, delta=0.05)",0.03370859804653058,0.56135,0.02837832614596964,0.00533027190056094,0.002931124490204112,0.0077294193109177685,True,True
0.2,0.6,0.01,"EMA(alpha=0.1, delta=0.02)",0.038846866031018806,0.5439,0.04546818922982592,-0.006621323198807116,-0.00888558276268311,-0.00435706363493112,False,False
