policy,alpha,delta,mean_profit,ci_low,ci_high,p_loss,mean_loss_given_loss,diff_vs_bh,diff_ci_low,diff_ci_high,beats_bh
"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.0470073563636586,0.04020576516368639,0.05380894756363082,0.60195,-0.3507741154060546,0.04890312576125602,0.04827372759499407,0.049532523927517974,True
"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.06485843350719164,0.05806709177707206,0.07164977523731123,0.60195,-0.332339531293204,0.06675420290478906,0.06610417292715502,0.0674042328824231,True
"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0888487354408743,0.08249840746092368,0.0951990634208249,0.5409,-0.28491281998795315,0.09074450483847173,0.08809736693558655,0.0933916427413569,True
"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.04402791724193071,0.037227584667484735,0.05082824981637669,0.60195,-0.3537347427149428,0.04592368663952814,0.04522894851546659,0.04661842476358968,True
"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.0700378068348081,0.06324991516737798,0.07682569850223823,0.60195,-0.32693548879677686,0.07193357623240551,0.07118773303846701,0.07267941942634401,True
"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.05252575655405225,0.048030238306669484,0.05702127480143501,0.26565,-0.2594241433094083,0.054421525951649674,0.049114403152838715,0.05972864875046063,True
"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.04925766808161338,0.04245708935662035,0.05605824680660641,0.60195,-0.34848448793731335,0.0511534374792108,0.05037795494064737,0.05192892001777423,True
"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.08418965897659139,0.07785711245883639,0.09052220549434639,0.52815,-0.2952500779717308,0.0860854283741888,0.08340212463948049,0.0887687321088971,True
"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.00022626085887663089,-5.792093945220731e-05,0.0005104426572054691,0.00135,-0.19000699065671792,0.0021220302564740516,-0.004688471324889423,0.008932531837837526,False
Buy-and-hold,,,-0.0018957693975974212,-0.008711576046849528,0.004920037251654685,0.60195,-0.3997184943699556,0.0,0.0,0.0,False
Never-trade,,,0.0,0.0,0.0,0.0,,0.0018957693975974212,-0.004920037251654685,0.008711576046849528,False
