policy,alpha,delta,mean_profit,ci_low,ci_high,p_loss,mean_loss_given_loss,diff_vs_bh,diff_ci_low,diff_ci_high,beats_bh
"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.03721273666590646,0.030399480729528618,0.0440259926022843,0.60195,-0.36053304092140176,0.03910850606350388,0.03854701374328288,0.039669998383724876,True
"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.059344909914582716,0.05253797375814932,0.06615184607101611,0.6019,-0.33818728806039433,0.06124067931218015,0.06060389567918245,0.06187746294517785,True
"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.10154466090158956,0.09485805749178065,0.10823126431139847,0.5875,-0.2891688779727032,0.10344043029918698,0.10195053493260245,0.10493032566577151,True
"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.03127029506119854,0.024453491378830794,0.03808709874356629,0.60195,-0.3663884081454392,0.03316606445879596,0.03246601893000492,0.033866109987587004,True
"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.06143626499496031,0.054623153202136704,0.06824937678778392,0.60195,-0.33588684405646174,0.06333203439255773,0.06247546359095575,0.06418860519415971,True
"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.06289893406443585,0.05799337252422906,0.06780449560464265,0.31475,-0.25915119514236606,0.06479470346203327,0.059828351093527535,0.069761055830539,True
"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.03659217366952133,0.029768578335627023,0.04341576900341564,0.60195,-0.3610596231650255,0.03848794306711876,0.03762419176447005,0.039351694369767466,True
"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.0600022015743809,0.054481226815112305,0.0655231763336495,0.3999,-0.29512035839959966,0.061897970971978314,0.05768395804804956,0.06611198389590707,True
"EMA(alpha=0.6, delta=0.1)",0.6,0.1,-2.7039743823478095e-05,-5.8023068376721016e-05,3.943580729764826e-06,0.00015,-0.18026495882318727,0.0018687296537739436,-0.004946842443149923,0.00868430175069781,False
Buy-and-hold,,,-0.0018957693975974212,-0.008711576046849528,0.004920037251654685,0.60195,-0.3997184943699556,0.0,0.0,0.0,False
Never-trade,,,0.0,0.0,0.0,0.0,,0.0018957693975974212,-0.004920037251654685,0.008711576046849528,False
