cost,policy,alpha,delta,mean_profit,ci_low,ci_high,p_loss,mean_loss_given_loss,diff_vs_bh,diff_ci_low,diff_ci_high,beats_bh
0.0,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.04883593123084227,0.04202963334914527,0.055642229112539264,0.6001,-0.3507791445048069,0.04886148648976577,0.04823021509443343,0.04949275788509811,True
0.0,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.06667259716285855,0.05987299028332501,0.07347220404239209,0.6001,-0.33253944197539376,0.06669815242178205,0.06604161232536625,0.06735469251819785,True
0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09086160994594797,0.0844864894097059,0.09723673048219003,0.54165,-0.2852566722232147,0.09088716520487149,0.08828510123500852,0.09348922917473446,True
0.0,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.045731625566824176,0.038925725722133826,0.052537525411514525,0.6001,-0.35391719836453656,0.04575718082574767,0.045063395674252285,0.04645096597724306,True
0.0,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.07146196328345593,0.06465978552265156,0.0782641410442603,0.6001,-0.3278558592754324,0.07148751854237943,0.07074028148123832,0.07223475560352055,True
0.0,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.05282766747267528,0.04832502281703024,0.05733031212832033,0.2682,-0.2573501510671533,0.052853222731598794,0.04754366364589957,0.05816278181729802,True
0.0,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.05111140650427104,0.04430411658985133,0.05791869641869075,0.6001,-0.3485937613215789,0.05113696176319455,0.050367933148362166,0.051905990378026935,True
0.0,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.08762825572165724,0.08128645900902884,0.09397005243428563,0.5281,-0.2934003455152754,0.08765381098058075,0.0850021960040814,0.0903054259570801,True
0.0,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.0006823494517068948,0.0002929765897080177,0.001071722313705772,0.00115,-0.2176169209392848,0.0007079047106304015,-0.006109034498514418,0.007524843919775221,False
0.0,Buy-and-hold,,,-2.5555258923507474e-05,-0.006849418591557593,0.006798308073710578,0.6001,-0.3998723437971089,0.0,0.0,0.0,False
0.0,Never-trade,,,0.0,0.0,0.0,0.0,,2.5555258923507474e-05,-0.006798308073710578,0.006849418591557593,False
0.01,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.0387185612793557,0.03191266533999827,0.04552445721871312,0.5998,-0.3611211308723612,0.04887525466571979,0.04824837162365942,0.04950213770778016,True
0.01,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.0570599945732535,0.05026129294781741,0.0638586961986896,0.5998,-0.3423716868091224,0.06721668795961759,0.06657525034531132,0.06785812557392386,True
0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.08084261757462498,0.07448587428474299,0.08719936086450697,0.5399,-0.2958468775034904,0.09099931096098907,0.08837597746039458,0.09362264446158355,True
0.01,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.036100427019640585,0.02929338501944838,0.04290746901983279,0.5998,-0.363865327556148,0.04625712040600468,0.045563902228140024,0.046950338583869336,True
0.01,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.06212886098215638,0.055330581543656616,0.06892714042065615,0.5998,-0.3372372199249178,0.07228555436852048,0.0715477218415427,0.07302338689549825,True
0.01,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.04978656759968783,0.04528484718007612,0.054288288019299545,0.2668,-0.26891488009435444,0.059943260986051926,0.05466256366553671,0.06522395830656713,True
0.01,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.04165203766986099,0.034846486772884905,0.04845758856683707,0.5998,-0.3581924774670581,0.05180873105622508,0.051043711837762996,0.05257375027468716,True
0.01,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.07900628901223747,0.07266541147601034,0.0853471665484646,0.52755,-0.3042156604546072,0.08916298239860156,0.08653735707362432,0.09178860772357879,True
0.01,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.0004764758445596972,0.0001448643283908567,0.0008080873607285377,0.0009,-0.22878431677904126,0.01063316923092379,0.00380879907240763,0.01745753938943995,True
0.01,Buy-and-hold,,,-0.010156693386364095,-0.016986566994169523,-0.003326819778558668,0.5998,-0.41063331179455503,0.0,0.0,0.0,False
0.01,Never-trade,,,0.0,0.0,0.0,0.0,,0.010156693386364095,0.003326819778558668,0.016986566994169523,True
0.02,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.025644397977963553,0.01884277418309187,0.03244602177283524,0.6019,-0.372182845790719,0.048516210616661,0.047884528392866776,0.04914789284045522,True
0.02,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.04373591705400618,0.036942515900846094,0.05052931820716627,0.6019,-0.35358910168921776,0.06660772969270363,0.06595349995078872,0.06726195943461855,True
0.02,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.07039692358848824,0.06404838560304532,0.07674546157393117,0.5426,-0.30538866022691386,0.09326873622718568,0.09066544324029205,0.09587202921407931,True
0.02,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.022846755480764553,0.01604410414269227,0.029649406818836835,0.6019,-0.3751132789210881,0.045718568119462,0.0450213960404372,0.04641574019848679,True
0.02,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.04864195342658598,0.04184987789814474,0.05543402895502721,0.6019,-0.34858358178727783,0.07151376606528342,0.07076453034757395,0.0722630017829929,True
0.02,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.04451200732633139,0.0400453709269889,0.048978643725673884,0.26515,-0.27856347155609906,0.06738381996502885,0.06210925045666891,0.07265838947338878,True
0.02,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.028324309712738215,0.021524481536486346,0.03512413788899008,0.6019,-0.3694156328973787,0.051196122351435655,0.05042298878555062,0.05196925591732069,True
0.02,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.0662288314251087,0.059910260344231636,0.07254740250598576,0.528,-0.31480990235205486,0.08910064406380616,0.08640792122594886,0.09179336690166347,True
0.02,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.00048309487137915524,0.00012227489347588845,0.000843914849282422,0.0014,-0.2312187550673545,0.0233549075100766,0.01654318315965704,0.03016663186049616,True
