sigma_p,policy,alpha,delta,mean_profit,ci_low,ci_high,p_loss,mean_loss_given_loss,diff_vs_bh,diff_ci_low,diff_ci_high,beats_bh
0.0,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,-0.002717395834524564,-0.009314706448886663,0.0038799147798375348,0.5848,-0.39039610054799906,-6.739583452454147e-05,-0.0016307258651973432,0.0014959341961482602,False
0.0,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,-0.0004402279895344528,-0.003109668157837245,0.0022292121787683395,0.1181,-0.31658811617191884,0.0022097720104655573,-0.004024080653106962,0.008443624674038076,False
0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0,0.0,0.0,0.0,,0.002650000000000004,-0.0041320836171682635,0.009432083617168272,False
0.0,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,-2.5199166161478993e-05,-0.005521640281845303,0.005471241949522345,0.4229,-0.3717900040124683,0.0026248008338385417,-0.0013515143976389138,0.006601116065315997,False
0.0,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.0,0.0,0.0,0.0,,0.002650000000000004,-0.0041320836171682635,0.009432083617168272,False
0.0,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.0,0.0,0.0,0.0,,0.002650000000000004,-0.0041320836171682635,0.009432083617168272,False
0.0,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,1.0410060389736308e-05,-5.21959995713908e-05,7.301612035086341e-05,5e-05,-0.33546511565787307,0.0026604100603897403,-0.004121309773308606,0.009442129894088085,False
0.0,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.0,0.0,0.0,0.0,,0.002650000000000004,-0.0041320836171682635,0.009432083617168272,False
0.0,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.0,0.0,0.0,0.0,,0.002650000000000004,-0.0041320836171682635,0.009432083617168272,False
0.0,Buy-and-hold,,,-0.002650000000000004,-0.009432083617168272,0.0041320836171682635,0.60265,-0.3999999999999999,0.0,0.0,0.0,False
0.0,Never-trade,,,0.0,0.0,0.0,0.0,,0.002650000000000004,-0.0041320836171682635,0.009432083617168272,False
0.01,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.007313486959235774,0.0005813283508596971,0.014045645567611852,0.6007,-0.3855798753109408,0.010421252677123837,0.009617350183912658,0.011225155170335016,True
0.01,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.0015663085867675351,-0.0025477195977997797,0.00568033677133485,0.2671,-0.32556816580381215,0.004674074304655598,-0.0007252481488201285,0.010073396758131323,False
0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,-2.3726389330523515e-05,-5.6608705677672734e-05,9.1559270166257e-06,0.0001,-0.23726389330523515,0.0030840393285575395,-0.003698230660470769,0.009866309317585848,False
0.01,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.008993875558649929,0.002315105694050277,0.01567264542324958,0.59545,-0.38113657094346676,0.012101641276537992,0.01094652739391707,0.013256755159158914,True
0.01,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,-0.0002646861552558884,-0.0005080830173929676,-2.1289293118809246e-05,0.0016,-0.30785374764740575,0.0028430795626321744,-0.003934330923864238,0.009620490049128587,False
0.01,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.0,0.0,0.0,0.0,,0.0031077657178880634,-0.003674697463442245,0.00989022889921837,False
0.01,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.0007802034193817738,-0.0011389253150889415,0.0026993321538524894,0.0538,-0.34744250824805706,0.003887969137269837,-0.0026179075504313785,0.010393845824971052,False
0.01,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.0,0.0,0.0,0.0,,0.0031077657178880634,-0.003674697463442245,0.00989022889921837,False
0.01,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.0,0.0,0.0,0.0,,0.0031077657178880634,-0.003674697463442245,0.00989022889921837,False
0.01,Buy-and-hold,,,-0.0031077657178880634,-0.00989022889921837,0.003674697463442245,0.60305,-0.40006557515861135,0.0,0.0,0.0,False
0.01,Never-trade,,,0.0,0.0,0.0,0.0,,0.0031077657178880634,-0.003674697463442245,0.00989022889921837,False
0.02,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.02438137874817056,0.017598771696681066,0.03116398579966005,0.5987,-0.3755514587053402,0.023268929908166258,0.022817876474468677,0.02371998334186384,True
0.02,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.03267901357698174,0.0264914101222179,0.03886661703174558,0.52025,-0.3447817352011219,0.03156656473697743,0.028724092858850213,0.034409036615104645,True
0.02,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0005144771395643211,-0.00010203911317687039,0.0011309933923055126,0.0063,-0.25429246806400807,-0.0005979717004399816,-0.007374463697154839,0.006178520296274876,False
0.02,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.025926168344093548,0.01914617155689608,0.032706165131291015,0.59875,-0.37390066846540587,0.02481371950408924,0.024371067943927724,0.025256371064250757,True
0.02,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.013639942103390246,0.010352387329005862,0.01692749687777463,0.14865,-0.31807375066151444,0.012527493263385942,0.006546713343936128,0.018508273182835756,True
0.02,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.0,0.0,0.0,0.0,,-0.0011124488400043031,-0.007915089413474527,0.005690191733465921,False
0.02,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.03424127881676718,0.027674582509483476,0.04080797512405089,0.56885,-0.35872665047902486,0.033128829976762884,0.03137593056475054,0.03488172938877523,True
0.02,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,-3.23677781362557e-05,-7.737140373841966e-05,1.2635847465908264e-05,0.0001,-0.323677781362557,-0.0011448166181405586,-0.007947254116061838,0.005657620879780722,False
0.02,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.0,0.0,0.0,0.0,,-0.0011124488400043031,-0.007915089413474527,0.005690191733465921,False
0.02,Buy-and-hold,,,0.0011124488400043031,-0.005690191733465921,0.007915089413474527,0.59875,-0.40036357845827963,0.0,0.0,0.0,False
0.02,Never-trade,,,0.0,0.0,0.0,0.0,,-0.0011124488400043031,-0.007915089413474527,0.005690191733465921,False
0.05,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.05135805821492476,0.044540399361799606,0.05817571706804991,0.5969,-0.3515809803241986,0.04882791096439597,0.04820380059753723,0.0494520213312547,True
